specimen,y.reader1,y.age1,y.date1,y.grade1,y.reader2,y.age2,y.date2,y.grade2,y.reader3,y.age3,y.date3,y.grade3,y.cv,x.reader1,x.age1,x.grade1,x.reader2,x.age2,x.grade2,x.reader3,x.age3,x.grade3
1,Z,120,12/6/2024,3,,,,,,,,,,,,,,,,,,
2,Z,126,9/19/2024,3,Z,129,10/21/2024,2,,,,,1.663780662,,,,,,,,,
3,Z,102,1/31/2025,3.5,,,,,,,,,,,,,,,,,,
4,Z,109,1/29/2025,1.5,Z,113,12/8/2024,2,,,,,2.548132545,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,E & Z,135,5/25/2023,2,E & Z,140,5/25/2023,2,Z,139,10/5/2024,2.5,1.917211095,,,,,,,,,
7,Z,130,10/22/2024,3,Z,129,12/8/2024,2.5,,,,,0.546028403,,,,,,,,,
8,Z,118,10/5/2024,3,Z,116,10/22/2024,3,,,,,1.20872954,,,,,,,,,
9,Z,136,10/5/2024,2.5,Z,132,10/23/2024,2.5,,,,,2.110766511,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,Z,113,12/8/2024,2.5,Z,119,10/24/2024,2.5,,,,,3.657448868,,,,,,,,,
12,Z,148,10/5/2024,3.2,Z,141,10/24/2024,2.5,,,,,3.425430774,,,,,,,,,
13,Z,118,10/5/2024,2,Z,129,9/16/2024,2,Z,125,12/8/2024,2,4.490132551,Kath,118,,Kath,122,,Esther,130,3
14,Z,129,8/18/2024,3,Z,124,9/16/2024,2,Z,129,1/28/2025,2,2.267082209,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,Z,135,8/18/2024,3,Z,131,9/16/2024,2.5,,,,,2.126636936,,,,,,,,,
17,Z,117,9/16/2024,4,Z,119,10/24/2024,3,,,,,1.19848607,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,
20,Z,137,8/18/2024,3,Z,137,10/17/2024,3,,,,,0,,,,,,,,,
21,Z,128,9/16/2024,2.5,Z,132,8/18/2024,4,Z,112,1/28/2025,3,8.534681649,Kath,150,4,,,,,,
22,Z,113,12/8/2024,3,Z,107,9/16/2024,2,,,,,3.856946079,Esther,157,3,,,,,,
23,Z,120,12/8/2024,3.5,Z,122,10/17/2024,3,,,,,1.168771539,,,,,,,,,
24,Z,119,2/7/2025,2,Z,121,1/28/2025,3,,,,,1.178511302,Esther,149,3,,,,,,
25,Esther,118,??,3,Z,123,12/8/2024,2,,,,,2.934053034,Esther,118,3,,,,,,
26,Z,109,1/29/2025,2.5,Z,110,2/7/2025,2.5,,,,,0.645759618,,,,,,,,,
27,Z,126,9/8/2024,3,,,,,,,,,,,,,,,,,,
28,Z,127,12/4/2024,3,Z,121,1/29/2025,2,,,,,3.421484425,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,Z,120,12/4/2024,3.5,Z,116,1/29/2025,2,,,,,2.39697214,,,,,,,,,
31,Z,106,1/31/2025,2,Z,113,12/4/2024,3.5,Z,113,1/28/2025,3,3.651914353,,,,,,,,,
32,Z,120,12/4/2024,3,Z,117,12/31/2025,2.5,,,,,1.79014375,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,Z,132,9/8/2024,3,Z,108,12/4/2024,3.5,Z,128,1/31/2025,2.5,10.48222909,,,,,,,,,
35,Esther,129,3/21/2024,2,Z,121,12/4/2024,3,,,,,4.5254834,Esther,129,2,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,
37,Z,131,12/4/2024,3,Z,135,1/31/2025,3,,,,,2.126636936,,,,,,,,,
38,Z,115,2/7/2025,2.5,Z,118,12/4/2024,3,,,,,1.820875831,Esther,120,2,Esther,138,3,,,
39,Z,140,9/8/2024,4,,,,,,,,,,,,,,,,,,
40,Z,137,2/7/2025,2,Z,144,12/5/2024,3,,,,,3.522951935,,,,,,,,,
41,Z,129,9/8/2024,4,Z,113,12/5/2024,4,Z,121,2/7/2025,2,6.611570248,,,,,,,,,
42,Z,137,9/8/2024,4,Z,132,12/5/2024,3,,,,,2.628649744,,,,,,,,,
43,Z,130,1/31/2025,2.5,,,,,,,,,,,,,,,,,,
44,Z,138,12/5/2024,3,Z,121,1/31/2025,2.5,Z,,,,9.282482842,,,,,,,,,
45,Z,144,9/28/2024,2.5,Z,145,12/5/2024,2,Z,139,1/29/2025,1.5,2.25318943,Esther,138,4,Kath,136,,Kath,124,
46,Z,138,9/28/2024,1.5,Z,144,12/5/2024,2,Z,142,2/4/2025,1.5,2.161592309,,,,,,,,,
47,Z,131,9/28/2024,2.5,Z,134,12/5/2024,2.5,,,,,1.600996486,,,,,,,,,
48,Z,150,12/5/2024,3,Z,150,2/4/2025,2.5,,,,,0,,,,,,,,,
49,Z,144,9/28/2024,4,Z,146,12/5/2024,3,,,,,0.975319698,,,,,,,,,
50,Z,114,9/28/2024,2.5,Z,125,12/5/2024,3.5,Z,120,2/4/2025,3,4.602426641,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,Z,135,12/6/2024,3,,,,,,,,,,,,,,,,,,
53,Z,168,9/28/2024,2.5,Z,175,12/5/2024,3,z,171,1/20/2025,2.5,2.049738084,Kath,173,2.5,,,,,,
54,Z,145,12/6/2024,3,Esther,158,2/4/2025,2.5,Z,178,1/20/2025,4,10.36794814,Esther,186,4,,,,,,
55,Z,144,12/3/2024,4,Z,122,12/6/2024,3,Z,133,1/20/2025,4,8.270676692,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,
57,Z,105,12/3/2024,4,Z,123,12/6/2024,3,Z,133,1/20/2025,3,11.79157709,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,
59,Z,146,12/3/2024,4,Z,147,12/6/2024,3,,,,,0.482666745,,,,,,,,,
60,Z,140,12/3/2024,4,Z,139,12/6/2024,3,,,,,0.506886582,,,,,,,,,
61,Z,137,12/6/2024,4,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,
65,Z,169,9/29/2024,3.5,Z,148,12/6/2024,3,Z,165,2/4/2025,2.5,6.940136383,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,
67,Z,181,12/6/2024,3.5,Z,178,1/20/2025,3,Z,164,1/25/2025,2.5,5.204840378,,,,,,,,,
68,Z,179,12/6/2024,3,Z,170,2/4/2025,2.5,,,,,3.646969072,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,
70,Z,158,10/13/2024,3,Z,148,12/6/2024,4,Z,146,2/5/2025,2,4.267102107,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,
72,Z,174,12/7/2024,3.5,Z,156,2/4/2025,3,,,,,7.713892158,,,,,,,,,
73,Z,164,9/14/2024,2.5,Z,146,9/28/2024,3,Z,165,,3?,6.753269445,,,,,,,,,
74,Z,183,1/20/2025,3,Z,176,10/13/2024,3,Z,188,12/8/2024,3,3.305875927,,,,,,,,,
75,Z,121,9/29/2024,4,Z,128,10/13/2024,3,,,,,3.975700778,,,,,,,,,
76,Z,156,10/12/2024,3,Z,148,1/20/2025,,,,,,3.721614638,,,,,,,,,
77,Z,164,2/4/2025,3,Z,161,1/20/2025,3.5,,,,,1.305427904,,,,,,,,,
