Model,RMSE,R2,Bias,RPD,Set
GAM,11.058,0.879,0.042,3.183,All
LM,11.588,0.868,0.081,2.99,All
PLS,12.25,0.852,0.065,2.901,All
PLS-VIP,12.374,0.847,0.024,2.927,All
RF,9.843,0.904,−0.025,3.615,All
Simple GAM,9.704,0.904,0.093,3.589,All
Simple LM,11.316,0.867,0.051,3.129,All
XGB,9.379,0.911,−0.050,3.817,All
GAM,7.806,0.654,−1.038,2.494,Kodiak
LM,7.467,0.68,−0.086,2.537,Kodiak
PLS,7.97,0.632,0.127,2.888,Kodiak
PLS-VIP,8.194,0.607,0.147,2.841,Kodiak
RF,8.508,0.606,0.212,2.134,Kodiak
Simple GAM,8.883,0.551,−0.167,2.107,Kodiak
Simple LM,8.66,0.563,0.065,2.263,Kodiak
XGB,8.438,0.609,0.214,2.216,Kodiak
GAM,12.027,0.679,0.345,2.418,LPW
LM,11.836,0.698,0.031,2.403,LPW
PLS,11.844,0.687,−0.151,2.768,LPW
PLS-VIP,12.019,0.677,−0.150,2.713,LPW
RF,12.938,0.632,0.353,2.25,LPW
Simple GAM,13.45,0.55,0.303,2.145,LPW
Simple LM,13.385,0.567,0.062,2.074,LPW
XGB,11.878,0.672,−0.562,2.61,LPW
GAM,5.81,0.616,0.294,1.953,Shumagin
LM,5.945,0.592,0.129,1.953,Shumagin
PLS,5.982,0.582,−0.059,2.134,Shumagin
PLS-VIP,5.953,0.584,−0.071,2.152,Shumagin
RF,6.261,0.572,−0.301,1.792,Shumagin
Simple GAM,6.155,0.563,−0.051,1.856,Shumagin
Simple LM,5.852,0.599,0.029,1.958,Shumagin
XGB,6.502,0.53,−0.199,1.734,Shumagin
GAM,6.776,0.695,−0.169,2.057,Wild
LM,7.126,0.658,0.02,1.963,Wild
PLS,7.581,0.612,0.01,1.915,Wild
PLS-VIP,7.316,0.639,0.045,1.987,Wild
RF,7.082,0.675,−0.082,1.972,Wild
Simple GAM,7.125,0.663,−0.038,1.972,Wild
Simple LM,7.119,0.661,0.021,1.993,Wild
XGB,7.249,0.657,−0.264,1.923,Wild
