specimen,transect,core_start_index,core_end_index
oto01,1,90,149
oto01,2,77,149
oto02,1,59,91
oto02,2,59,89
oto03,1,69,124
oto03,2,77,141
oto04,1,97,221
oto04,2,98,224
oto05,1,42,153
oto05,2,29,148
oto06,2,81,186
oto06,3,83,177
oto07,1,116,201
oto07,2,118,201
oto08,2,92,177
oto08,3,81,175
oto09,2,110,217
oto09,3,107,221
oto11,1,95,171
oto11,2,102,193
oto13,1,78,204
oto13,2,82,213
oto15,1,135,271
oto15,2,111,281
oto17,1,164,267
oto17,2,148,260
oto19,1,176,303
oto19,2,180,316
oto21,2,61,143
oto21,3,49,139
oto22,2,59,165
oto22,3,59,176
oto23,2,75,199
oto23,3,128,224
oto24,1,67,155
oto24,2,70,155
oto25,2,78,150
oto25,3,85,158
oto26,1,61,134
oto26,2,69,140
oto27,2,54,181
oto27,3,57,187
oto29,3,49,101
oto29,4,32,92
oto31,1,76,165
oto31,2,91,188
oto32,2,93,157
oto32,3,94,154
oto33,2,111,223
oto33,3,112,217
oto34,3,139,249
oto34,4,141,252
oto36,1,101,301
oto36,2,101,308
oto39,2,138,290
oto39,3,138,292
