"specimen","transect","start_time","end_time"
"oto01","1",6.07767987251282,98.8235399723053
"oto01","2",10.3061499595642,102.786489963531
"oto01","3",10.0409801006317,99.3488900661469
"oto01","4",9.24847984313965,96.4421899318695
"oto02","1",11.8893399238586,96.7064599990845
"oto02","2",11.098109960556,96.7094898223877
"oto02","3",12.6828701496124,98.821610212326
"oto02","4",12.1553599834442,98.5571100711823
"oto03","1",10.3048100471497,84.2894899845123
"oto03","2",9.77567005157471,88.5157599449158
"oto03","3",8.45568990707397,89.0468699932098
"oto03","4",6.86954998970032,89.8346700668335
"oto04","1",10.041100025177,140.307280063629
"oto04","2",10.3049199581146,146.386039972305
"oto04","3",8.71968007087708,144.802929878235
"oto04","4",7.92657995223999,141.363240003586
"oto05","1",8.71924018859863,87.7225999832153
"oto05","2",9.24846005439758,87.7247700691223
"oto05","3",7.39832997322083,87.7228600978851
"oto05","4",7.13343000411987,88.515750169754
"oto06","1",10.3050200939178,126.832250118256
"oto06","2",8.9840099811554,128.149239778519
"oto06","3",8.71953988075256,127.886379957199
"oto06","4",9.51249980926514,128.150439977646
"oto07","1",7.3985800743103,128.943910121918
"oto07","2",12.6841502189636,131.321290016174
"oto07","3",14.2667698860168,128.943229913712
"oto07","4",19.8174798488617,127.885989904404
"oto08","1",9.78,123.51
"oto08","2",9.51,122.06
"oto08","3",7.66,118.24
"oto08","4",7.93,116.27
"oto09","1",11.89,144.01
"oto09","2",10.04,145.32
"oto09","3",9.51,147.7
"oto09","4",10.04,146.4
"oto11","1",12.42,127.83
"oto11","2",9.25,125.77
"oto11","3",6.87,123.09
"oto11","4",6.08,122.07
"oto13","1",8.46,117.05
"oto13","2",10.39,123.48
"oto13","3",6.94,124.97
"oto13","4",8.37,124.74
"oto15","1",7.44,128.28
"oto15","2",14.19,136.91
"oto15","3",14.79,141.73
"oto15","4",16.09,142.23
"oto17","1",9.55,174.12
"oto17","2",10.23,173.86
"oto17","3",10.58,174.66
"oto17","4",8.91,168.84
"oto19","1",8.77,192.09
"oto19","2",13.98,205.57
"oto19","3",16.91,207.16
"oto19","4",21.59,206.37
"oto21","1",8.19055008888245,61.5637700557709
"oto21","2",7.66178011894226,81.1167001724243
"oto21","3",5.54901003837585,82.1760900020599
"oto21","4",3.69934010505676,83.4940900802612
"oto22","1",10.31,84.82
"oto22","2",11.89,108.6
"oto22","3",10.83,109.16
"oto22","4",11.63,110.71
"oto23","1",12.42,110.45
"oto23","2",12.79,119.56
"oto23","3",13.48,122.81
"oto23","4",10.31,125.67
"oto24","1",13.2112600803375,108.071589946747
"oto24","2",9.51217007637024,108.595829963684
"oto24","3",7.39874005317688,108.070050001144
"oto25","1",8.72,98.82
"oto25","2",8.46,98.69
"oto25","3",6.87,97.99
"oto25","4",5.81,95.25
"oto26","1",9.25,98.82
"oto26","2",7.13,99.62
"oto26","3",6.08,99.57
"oto26","4",5.81,99.62
"oto27","1",13.21,103.84
"oto27","2",10.9,104.63
"oto27","3",10.57,105.59
"oto27","4",9.78,106.22
"oto29","1",14.7968099117279,85.6096699237823
"oto29","2",11.8902599811554,81.3823900222778
"oto29","3",7.9262900352478,79.5331599712372
"oto29","4",9.24812984466553,77.6837899684906
"oto31","1",15.35,98.03
"oto31","2",11.89,110.71
"oto31","3",10.3,110.45
"oto31","4",7.93,110.45
"oto32","1",11.1,89.84
"oto32","2",12.09,89.84
"oto32","3",11.43,89.84
"oto32","4",7.66,90.37
"oto33","1",13.48,149.55
"oto33","2",14.8,150.88
"oto33","3",10.6,149.2
"oto33","4",10.04,150.61
"oto34","1",9.41,160.92
"oto34","2",13.12,152.99
"oto34","3",13.74,153.78
"oto34","4",12.68,153.26
"oto36","1",15.853600025177,137.928529977798
"oto36","2",14.2684299945831,133.962589979172
"oto36","3",14.2677898406982,133.964059829712
"oto36","4",13.4754199981689,131.586139917374
"oto39","1",10.31,151.4
"oto39","2",14.39,153.84
"oto39","3",12.42,152.73
"oto39","4",9.78,147.97
