Element,ATHO,BM90-21,G_NIST612,KL2,NIST612,T1
B11_ppm,5.7,4.2,,,,
Ba138_ppm,547,0.533,,,,
Ca43,12149.83,15008.61316,,,,
Cd111_ppm,0.5,0.1,,,,
Ce140_ppm,121,0.471,,,,
Co59_ppm,2.13,97.6,,,,
Cu63_ppm,18.6,37.9,,,,
Cu65_ppm,18.6,37.9,,,,
Fe56_ppm,25418.01,52857.02355,,,,
Li7_ppm,28.6,2.2,,,,
Mg24_ppm,621.13,206843.3654,,,,
Mn55_ppm,820.93,844.16357,,,,
Ni60_ppm,13,1900,,,,
Pb206_ppm,5.67,0.57,,,,
Pb207_ppm,5.67,0.57,,,,
Pb208_ppm,5.67,0.57,,,,
PbTotal_ppm,5.67,0.57,,,,
Rb85_ppm,65.3,0.374,,,,
Si29_ppm,353382.2,248208.8944,,,,
Sr86_ppm,94.1,0.78,,,,
Sr87_ppm,94.1,0.78,,,,
Sr88_ppm,94.1,0.78,,,,
Th232_ppm,7.4,0.054,,,,
Zn66_ppm,141,39.9,,,,
