"ModelType","nComp","R2","RMSE","Bias","RPD","Cal_Region","Val_Region"
"PCA-GAM",NA,0.790906098264248,4.37712381831877,1.29185645766664e-15,2.21844069939829,"E Shumagins","E Shumagins"
"Simple-GAM",NA,0.777068647982732,4.51741678211187,5.90396405480639e-13,2.14954477154186,"E Shumagins","E Shumagins"
"SG Only",1,0.69042180854033,5.32034572915205,5.59821549386746e-15,1.8251425977183,"E Shumagins","E Shumagins"
"SNV+SG",1,0.680178644067273,5.40764788942387,5.16758353280073e-15,1.79567712680689,"E Shumagins","E Shumagins"
"Simple-LM",NA,0.66852100888732,5.50532141792525,-1.07659041614243e-14,1.7638188377607,"E Shumagins","E Shumagins"
"Filtered SG",1,0.645506658296994,5.69322983467738,4.30631961066727e-15,1.70560295418221,"E Shumagins","E Shumagins"
"VIP > 1.0",1,0.64343946257351,5.70980548129162,5.59821549386746e-15,1.7006515645201,"E Shumagins","E Shumagins"
"VIP > 0.5",1,0.64273005847386,5.71548270334789,5.59821549386746e-15,1.69896229747596,"E Shumagins","E Shumagins"
"PCA-LM",NA,0.619146424877525,5.90110977579183,1.03350487890008e-14,1.64551923177214,"E Shumagins","E Shumagins"
"Simple-GAM",NA,0.687228673064928,415.596869720615,-356.291391941946,0.0592717592076208,"E Shumagins","LPW"
"PCA-GAM",NA,0.653324874733018,71.0910387650886,-63.2493631964798,0.342372602179996,"E Shumagins","LPW"
"PCA-LM",NA,0.62045561325263,79.9142067256441,70.8866726843401,0.304571926957161,"E Shumagins","LPW"
"Simple-LM",NA,0.550964903165177,17.6379794870192,4.66377688836397,1.39659747351732,"E Shumagins","LPW"
"SG Only",1,-11.4026941989105,84.9627317124634,-75.7530282412002,0.632647515756858,"E Shumagins","LPW"
"VIP > 1.0",1,-23.384710960545,119.132225666389,-108.142744368317,0.487022989316449,"E Shumagins","LPW"
"VIP > 0.5",1,-23.8745970987412,120.322951615823,-109.112992005405,0.479933551500081,"E Shumagins","LPW"
"Filtered SG",1,-24.2696002579221,121.274539814343,-109.989893491076,0.476447951763254,"E Shumagins","LPW"
"SNV+SG",1,-70.3559046181621,203.791191067179,-180.72586351584,0.258449827761727,"E Shumagins","LPW"
"Simple-LM",NA,0.716068841665265,9.33594266141329,-2.19095169052932,1.81729803874587,"E Shumagins","N Kodiak"
"PCA-GAM",NA,0.651125235463887,11.5224898685785,-4.50621416499323,1.47244132838828,"E Shumagins","N Kodiak"
"SG Only",1,0.650388261772899,9.86863569051801,-0.288147021677564,1.71993653571649,"E Shumagins","N Kodiak"
"PCA-LM",NA,0.642792090799209,10.0694979762003,-0.580961816728672,1.68490925054363,"E Shumagins","N Kodiak"
"SNV+SG",1,0.632392975859048,10.1194291634329,-1.54722151420669,1.69654309174926,"E Shumagins","N Kodiak"
"VIP > 1.0",1,0.619753792446424,10.2919237430868,-3.01042444212694,1.72389087945893,"E Shumagins","N Kodiak"
"VIP > 0.5",1,0.617422786988519,10.3234215926405,-3.0298695907822,1.71917715733482,"E Shumagins","N Kodiak"
"Filtered SG",1,0.616014664752592,10.3424024513939,-3.05824181540995,1.71724292997479,"E Shumagins","N Kodiak"
"Simple-GAM",NA,0.118023852313273,27.8095895283772,-16.9420401281868,0.610084167949252,"E Shumagins","N Kodiak"
"VIP > 1.0",1,0.482234017507425,7.3310734081282,1.78108641957367,1.48674506730934,"E Shumagins","S Kodiak"
"VIP > 0.5",1,0.478371823222087,7.35836510532041,1.85252622386348,1.48467219341772,"E Shumagins","S Kodiak"
"Filtered SG",1,0.474483536380696,7.38573931065625,1.9097687269475,1.48192435123436,"E Shumagins","S Kodiak"
"PCA-GAM",NA,0.427380996381344,7.72593462760913,-0.152000637737814,1.36849156229664,"E Shumagins","S Kodiak"
