"ModelType","nComp","R2","RMSE","Bias","RPD","Fold"
"SNV+SG",3,0.806069668063818,13.9570770132376,-6.81010378652123,2.68155200727865,1
"SG Only",2,0.858577725438622,12.2915041133548,-3.33487623591281,2.84779766977275,1
"Filtered SG",2,0.845557749595776,12.8448543014414,-3.04857798362874,2.7000464154179,1
"VIP > 0.5",1,0.792825414255266,14.876965690091,-3.89726424071768,2.34657402681713,1
"VIP > 1.0",1,0.794816130847949,14.8053176402935,-3.88342606653053,2.35815097705612,1
"PCA-LM",NA,0.869867598019296,13.9647983499659,3.25886261798822,2.4125477749386,1
"PCA-GAM",NA,0.920473352553873,10.2217111025611,1.17548557109941,3.29599837528524,1
"Simple-LM",NA,0.925505011278688,8.24187763464116,-2.18176666123501,3.47636451132412,1
"Simple-GAM",NA,0.920062465099078,9.17000466221984,-1.40683840967128,3.12450996167832,1
"SNV+SG",3,0.869532373895236,11.6012532955645,-0.907545253509762,2.8681108342785,2
"SG Only",2,0.762105556274161,14.3749828489006,2.62216768201107,2.1536272324789,2
"Filtered SG",2,0.716661745469185,15.6880076667425,3.0624195915377,1.9783273522166,2
"VIP > 0.5",2,0.708238531157299,15.9194901356876,3.06378001700169,1.94848020457152,2
"VIP > 1.0",1,0.6707599456232,16.9110867817265,2.9305096326087,1.82758965707311,2
"PCA-LM",NA,0.729201549534758,15.5366426202498,-2.42021307491562,1.9591711259254,2
"PCA-GAM",NA,0.814625697738273,13.0548550823802,-2.27047221236332,2.33161849927373,2
"Simple-LM",NA,0.924839579465419,10.3637417756447,2.9681898105841,3.58847160848703,2
"Simple-GAM",NA,0.947074872715496,8.5216381173834,1.66347726012585,4.3641835768322,2
"SNV+SG",1,0.825123411977146,11.1107289632649,-0.0117293692524143,2.46062934055025,3
"SG Only",2,0.840296514919015,13.1912946907985,-0.856265880966921,2.58030757187971,3
"Filtered SG",3,0.830729456556733,13.5806613594501,-2.1590604853676,2.5332613734369,3
"VIP > 0.5",3,0.830314270072426,13.5973064697971,-1.47418992014182,2.51279286641803,3
"VIP > 1.0",2,0.831433527183873,13.5523879570812,-0.328121442019346,2.50699529411092,3
"PCA-LM",NA,0.840660784297092,13.3584808045184,-0.0639629795939772,2.54264042143834,3
"PCA-GAM",NA,0.860183245602924,12.3595015309698,0.617167947292022,2.748153975099,3
"Simple-LM",NA,0.914179871740587,11.7537416932661,-5.15741828064655,3.00027666533226,3
"Simple-GAM",NA,0.933524170772313,9.45341277815398,-3.15738268753634,3.73034350241662,3
"SNV+SG",4,0.608154419622613,16.006492349849,4.32676576274089,1.71751477457154,4
"SG Only",2,0.941465099349736,6.69811839474032,-2.60527649106065,4.64401673947964,4
"Filtered SG",3,0.939484979883344,6.81046817747758,-0.942760676566791,4.24865492031523,4
"VIP > 0.5",2,0.932612314631587,7.18680144973311,-2.13891660174943,4.17667928660416,4
"VIP > 1.0",2,0.929388919576905,7.35667897998803,-2.18373637179,4.07919547634597,4
"PCA-LM",NA,0.954794452209335,6.97180352963851,2.14469406517938,4.11037881724682,4
"PCA-GAM",NA,0.955056743579082,6.13045991836265,1.50673953395028,4.67448673147618,4
"Simple-LM",NA,0.929004864695336,9.9415521836792,0.195415822045104,3.81136591187622,4
"Simple-GAM",NA,0.915657706108751,10.8017272480482,-0.748860755466703,3.50785501558189,4
"SNV+SG",3,0.845696589035797,13.2330753069956,2.01118185751776,2.64622863709153,5
"SG Only",4,0.833560475937972,14.0169272955436,4.46085692810053,2.65644311775286,5
"Filtered SG",3,0.901980013715323,10.7567705967536,1.68680664073517,3.32268928926389,5
"VIP > 0.5",2,0.903682614731539,10.662939134744,0.266371710667057,3.31149237779345,5
"VIP > 1.0",2,0.903887114405568,10.6516134211208,0.181225728110099,3.31445866524405,5
"PCA-LM",NA,0.905289762456378,10.6115807453727,-0.3696236986601,3.32648104406869,5
"PCA-GAM",NA,0.910395300722402,10.6161858446527,-1.01007945177751,3.32503807993025,5
"Simple-LM",NA,0.950481863947396,10.6065246003483,-2.39286793712124,3.35043142678615,5
"Simple-GAM",NA,0.970361200466669,9.40990797791234,-2.73595998794029,3.77649105957266,5
"SNV+SG",1,0.895887762495799,9.7890321185684,-2.17271371833268,3.30826344115949,6
"SG Only",2,0.882153799296029,11.2246882715235,-0.681905104344886,3.03756899119581,6
"Filtered SG",3,0.946198000973964,7.58430346995562,0.779093757658137,4.51113091000329,6
"VIP > 0.5",2,0.89844881465958,10.4197906746934,-0.453544529942987,3.26926673962222,6
"VIP > 1.0",2,0.89673621120216,10.5072852762557,-0.455709083062391,3.24202134006649,6
"PCA-LM",NA,0.888952019407192,10.9075125492383,0.170615535439216,3.12012381054538,6
"PCA-GAM",NA,0.922382527627112,9.11138871703759,0.180829521929885,3.73519237029833,6
"Simple-LM",NA,0.951432135028211,9.00866558850956,-0.215408141157847,3.884180191024,6
"Simple-GAM",NA,0.965039359186158,7.10330610233573,1.1104922239844,4.92605554685901,6
"SNV+SG",1,0.803849761208943,18.6829442051075,-1.36405645862285,2.33362282835129,7
"SG Only",2,0.877967704158697,12.6632554014714,-0.564488660837512,2.95364979411004,7
"Filtered SG",3,0.871170902794064,13.0111282249546,-0.461869440435444,2.87363291621075,7
"VIP > 0.5",3,0.869147751066785,13.1128946104705,-0.254403813072737,2.85007063466155,7
"VIP > 1.0",2,0.901232025620166,11.3924216026991,-0.219897730855645,3.28047939140917,7
"PCA-LM",NA,0.920786485683506,11.1251632375741,-0.00573798076487218,3.35866008070962,7
"PCA-GAM",NA,0.928021401257621,10.3876006418129,0.590118344671234,3.5971388336794,7
"Simple-LM",NA,0.815308502351773,12.1388196108731,-0.31809505752627,2.38693963960056,7
"Simple-GAM",NA,0.874994205294849,10.5702505688097,0.534456026075606,2.74114880423466,7
"SNV+SG",6,0.794689061504395,16.1911456237093,5.05393413224198,2.39921120062227,8
"SG Only",2,0.914585651626019,9.55489021491329,1.75638861478502,3.59511850366933,8
"Filtered SG",3,0.953248373520179,7.06901084024168,0.549738947604689,4.79107803724873,8
"VIP > 0.5",2,0.923260295539115,9.05670759977079,1.37618988385933,3.77204555981908,8
"VIP > 1.0",2,0.922937034633235,9.07576294300195,1.40062396904586,3.76552693547321,8
"PCA-LM",NA,0.92923008542314,8.86620765199178,-1.11626506798525,3.80834907072242,8
