"Variable","Fold","region","N_Calibration","N_Test","Mean_Calibration","Mean_Test","Median_Calibration","Median_Test","StdDev_Calibration","StdDev_Test","Min_Calibration","Min_Test","Max_Calibration","Max_Test","maxdiff","mindiff","meandiff"
"length",1,"E Shumagins",30,3,42.3333333333333,44.6666666666667,40,47,8.87590047236912,8.7368949480541,29,35,64,52,12,6,2.33333333333333
"length",1,"LPW",52,5,112.076923076923,127,107,135,20.1804080429084,38.7233779518265,84,85,177,182,5,1,14.9230769230769
"length",1,"N Kodiak",27,4,53.6296296296296,51,52,53,13.0417912530572,19.4079021706795,36,30,77,68,9,6,2.62962962962963
"length",1,"S Kodiak",12,2,43.6666666666667,44,43,44,5.06921785850339,9.89949493661167,37,37,54,51,3,0,0.333333333333336
"length",1,"W Shumagins",26,3,47,52.3333333333333,46.5,55,9.01110426085505,5.5075705472861,30,46,64,56,8,16,5.33333333333334
"length",2,"E Shumagins",29,4,42.8965517241379,40,41,40.5,8.89761134713857,8.28653526310404,29,30,64,49,15,1,2.89655172413793
"length",2,"LPW",53,4,113.88679245283,106.75,107,103.5,22.3844557822529,22.6476636028237,85,84,182,136,46,1,7.13679245283019
"length",2,"N Kodiak",27,4,53,55.25,51,57.5,13.9062797104263,13.3010024684858,30,38,77,68,9,8,2.25
"length",2,"S Kodiak",13,1,43.7692307692308,43,43,43,5.62959214262523,NA,37,43,54,43,11,6,0.769230769230766
"length",2,"W Shumagins",26,3,47.5,48,47,54,8.83289307078943,10.3923048454133,30,36,64,54,10,6,0.5
"length",3,"E Shumagins",30,3,42.8,40,41.5,37,8.51934917378244,12.7671453348037,30,29,64,54,10,1,2.8
"length",3,"LPW",50,7,114.14,108,107.5,107,23.320316096853,12.2746350930146,84,87,182,125,57,3,6.14
"length",3,"N Kodiak",28,3,53.5357142857143,51,53,41,13.5523187652646,17.3205080756888,30,41,77,71,6,11,2.53571428571428
"length",3,"S Kodiak",12,2,43.0833333333333,47.5,43,47.5,4.8889175848561,9.19238815542512,37,41,51,54,3,4,4.41666666666666
"length",3,"W Shumagins",26,3,47.1153846153846,51.3333333333333,47,53,9.06565793785282,5.68624070307733,30,45,64,56,8,15,4.21794871794872
"length",4,"E Shumagins",30,3,42.8,40,41.5,37,8.78242759621499,9.8488578017961,29,32,64,51,13,3,2.8
"length",4,"LPW",52,5,114.076923076923,106.2,107.5,106,22.7111842136451,17.2829395647847,84,89,182,129,53,5,7.87692307692308
"length",4,"N Kodiak",28,3,53.3214285714286,53,51.5,54,14.0239307942044,11.5325625946708,30,41,77,64,13,11,0.321428571428569
"length",4,"S Kodiak",13,1,44.2307692307692,37,43,37,5.26234811584218,NA,37,37,54,37,17,0,7.23076923076923
"length",4,"W Shumagins",26,3,48.1153846153846,42.6666666666667,49,43,9.00367446358173,5.5075705472861,30,37,64,48,16,7,5.44871794871795
"length",5,"E Shumagins",29,4,42.6206896551724,42,41,41.5,9.05701698409837,7.16472842006823,29,35,64,50,14,6,0.620689655172413
"length",5,"LPW",51,6,112.549019607843,120.5,106,125.5,22.8782112285818,15.9593232939245,84,95,182,137,45,11,7.95098039215686
"length",5,"N Kodiak",27,4,53.7777777777778,50,52,49.5,14.0885478132836,11.0453610171873,30,40,77,61,16,10,3.77777777777778
"length",5,"S Kodiak",12,2,43.25,46.5,43,46.5,5.41252755609194,6.36396103067893,37,42,54,51,3,5,3.25
"length",5,"W Shumagins",26,3,48.6538461538462,38,49,36,8.23136590216864,9.16515138991168,36,30,64,48,16,6,10.6538461538462
"length",6,"E Shumagins",31,2,42.5483870967742,42.5,41,42.5,8.70187224941629,13.4350288425444,29,33,64,52,12,4,0.0483870967741922
"length",6,"LPW",51,6,114,108.166666666667,108,100.5,23.0252035821619,14.7840003607504,84,96,182,128,54,12,5.83333333333333
"length",6,"N Kodiak",29,2,53.551724137931,49.5,54,49.5,14.0676584682144,2.12132034355964,30,48,77,51,26,18,4.05172413793103
"length",6,"S Kodiak",13,1,44.0769230769231,39,43,39,5.45376839841863,NA,37,39,54,39,15,2,5.07692307692308
"length",6,"W Shumagins",27,2,47.7407407407407,45,48,45,8.9939834273662,7.07106781186548,30,40,64,50,14,10,2.74074074074074
"length",7,"E Shumagins",30,3,41.8,50,40,54,7.72992394127724,16.3707055437449,29,32,54,64,10,3,8.2
"length",7,"LPW",49,8,113.428571428571,113.125,107,108.5,22.59424705539,21.642798208312,84,95,182,157,25,11,0.303571428571431
"length",7,"N Kodiak",29,2,53.2413793103448,54,52,54,13.7416342665373,16.9705627484771,30,42,77,66,11,12,0.758620689655174
"length",7,"S Kodiak",13,1,44.1538461538462,38,43,38,5.36727978660441,NA,37,38,54,38,16,1,6.15384615384615
"length",7,"W Shumagins",26,3,46.8076923076923,54,47,54,8.63953346318761,9,30,45,64,63,1,15,7.19230769230769
"length",8,"E Shumagins",30,3,42.7333333333333,40.6666666666667,41.5,36,8.8665716009077,8.9628864398325,29,35,64,51,13,6,2.06666666666667
"length",8,"LPW",51,6,112.56862745098,120.333333333333,107,118,22.2551161775991,23.217809256402,84,90,182,149,33,6,7.76470588235294
"length",8,"N Kodiak",28,3,53.2142857142857,54,53,48,13.530095789147,17.7763888346312,30,40,77,74,3,10,0.785714285714285
"length",8,"S Kodiak",13,1,43.4615384615385,47,43,47,5.54700196225229,NA,37,47,54,47,7,10,3.53846153846154
"length",8,"W Shumagins",26,3,47.1538461538462,51,47,55,9.01417686843256,6.92820323027551,30,43,64,55,9,13,3.84615384615385
"length",9,"E Shumagins",29,4,42.3793103448276,43.75,39,41.5,9.05701698409837,7.04154339142587,29,38,64,54,10,9,1.37068965517241
"length",9,"LPW",53,4,112.905660377358,119.75,107,106.5,20.796878603571,41.3067791046458,84,89,182,177,5,5,6.84433962264151
"length",9,"N Kodiak",28,3,53.1071428571429,55,51.5,54,13.6363872855334,16.5227116418583,30,39,77,72,5,9,1.89285714285715
"length",9,"S Kodiak",13,1,43.7692307692308,43,43,43,5.62959214262523,NA,37,43,54,43,11,6,0.769230769230766
"length",9,"W Shumagins",26,3,48.5,39.3333333333333,49,39,8.80113629027525,1.52752523165195,30,38,64,41,23,8,9.16666666666666
"length",10,"E Shumagins",29,4,42.551724137931,42.5,41,43,9.10488960824485,6.60807586719967,29,35,64,49,15,6,0.051724137931032
"length",10,"LPW",51,6,114.254901960784,106,108,102,22.6007461268471,19.380402472601,84,88,182,143,39,4,8.25490196078431
"length",10,"N Kodiak",28,3,52.5357142857143,60.3333333333333,51.5,68,12.8854846352675,21.548395145192,30,36,74,77,3,6,7.79761904761905
