"Variable","Fold","N_Test","N_Calibration","Mean_Test","Mean_Calibration","Median_Test","Median_Calibration","StdDev_Test","StdDev_Calibration","Min_Test","Min_Calibration","Max_Test","Max_Calibration","max_diff","min_diff","mean_diff"
"Fish Age (days)",1,17,147,101.235294117647,103.591836734694,91,92,33.6907431866765,32.9361680494465,63,56,178,205,27,7,2.35654261704681
"Fish Age (days)",2,16,148,99.5625,103.756756756757,88,92.5,30.4389416154154,33.2454531946445,62,56,164,205,41,6,4.19425675675676
"Fish Age (days)",3,18,146,103.833333333333,103.287671232877,89.5,91.5,33.9658132625768,32.9061274881075,69,56,188,205,17,13,0.54566210045661
"Fish Age (days)",4,15,149,96.7333333333333,104.013422818792,86,93,28.6567535462328,33.3294339880219,65,56,156,205,49,9,7.28008948545862
"Fish Age (days)",5,19,145,102.421052631579,103.468965517241,89,92,35.2992221970867,32.7212671184824,56,62,184,205,21,6,1.04791288566243
"Fish Age (days)",6,13,151,108.307692307692,102.920529801325,100,91,34.0327896187011,32.9017776984381,64,56,185,205,20,8,5.3871625063678
"Fish Age (days)",7,17,147,110.235294117647,102.551020408163,96,91,37.3656416574182,32.412830132076,64,56,205,204,1,8,7.68427370948379
"Fish Age (days)",8,16,148,108.125,102.831081081081,95,91,33.7656136722949,32.9004659548737,71,56,183,205,22,15,5.29391891891892
"Fish Age (days)",9,15,149,97.7333333333333,103.912751677852,85,93,31.3356635405062,33.1211806336413,67,56,171,205,34,11,6.17941834451902
"Fish Age (days)",10,18,146,105.055555555556,103.13698630137,101.5,91,35.0989730404856,32.7607060967622,68,56,204,205,1,12,1.9185692541857
"Fish Length (mm)",1,17,147,71.6470588235294,70.0136054421769,55,54,42.7900998720361,34.5348714760987,30,29,182,177,5,1,1.63345338135254
"Fish Length (mm)",2,16,148,62.1875,71.0472972972973,53,54,30.0759455379212,35.8343381209152,30,29,136,182,46,1,8.85979729729729
"Fish Length (mm)",3,18,146,71,70.0821917808219,55,54,32.4581178099517,35.7714019563336,29,30,125,182,57,1,0.917808219178085
"Fish Length (mm)",4,15,149,65,70.7046979865772,51,54,32.5027471366433,35.6627414317582,32,29,129,182,53,3,5.70469798657719
"Fish Length (mm)",5,19,145,68.3157894736842,70.4275862068965,50,54,38.1241431693574,35.0819961795035,30,29,137,182,45,1,2.11179673321234
"Fish Length (mm)",6,13,151,74,69.8543046357616,52,54,34.6698716467194,35.4809615335687,33,29,128,182,54,4,4.14569536423841
"Fish Length (mm)",7,17,147,80.1764705882353,69.0272108843537,66,54,36.130380730968,35.1789837592267,32,29,157,182,25,3,11.1492597038816
"Fish Length (mm)",8,16,148,75.375,69.6216216216216,55,54,39.3986040361838,34.9638113018849,35,29,149,182,33,6,5.75337837837837
"Fish Length (mm)",9,15,149,65.3333333333333,70.6711409395973,43,54,39.9761833858016,34.9423159694815,38,29,177,182,5,9,5.33780760626399
"Fish Length (mm)",10,18,146,68.6111111111111,70.3767123287671,60.5,54,31.1677414095915,35.9021928848958,35,29,143,182,39,6,1.76560121765601
