Cal_Region,Val_Region,ModelType,nComp,R2,RMSE,Bias,RPD
LPW,N Kodiak,SNV+SG,3,-3.987068904,37.27235195,-32.94837033,0.973665469
LPW,N Kodiak,SG Only,2,-8.159807087,49.18483343,-45.470966,0.873209162
LPW,N Kodiak,Filtered SG,3,-15.65057743,66.31361307,-62.59603918,0.747881126
LPW,N Kodiak,VIP > 0.5,3,-23.18200746,79.91608807,-76.00816628,0.66324705
LPW,N Kodiak,VIP > 1.0,3,-18.58943342,71.92816468,-67.29200736,0.644428785
LPW,S Kodiak,SNV+SG,3,-16.71316124,42.87941478,-41.62782567,1.028052528
LPW,S Kodiak,SG Only,2,-29.60439989,53.70302249,-51.71832284,0.68120466
LPW,S Kodiak,Filtered SG,3,-66.27051399,79.61944907,-78.75860099,0.843875792
LPW,S Kodiak,VIP > 0.5,3,-95.58187363,95.40136932,-94.35469914,0.699176013
LPW,S Kodiak,VIP > 1.0,3,-78.67589023,86.65033728,-85.40323915,0.672677836
LPW,E Shumagins,SNV+SG,3,-20.81389381,44.66026263,-43.2557492,0.873855691
LPW,E Shumagins,SG Only,2,-31.06696556,57.60124042,-55.47981564,0.661223966
LPW,E Shumagins,Filtered SG,3,-51.43431389,73.65643551,-72.48365925,0.782285099
LPW,E Shumagins,VIP > 0.5,3,-75.91991479,89.21179966,-87.74279807,0.635206998
LPW,E Shumagins,VIP > 1.0,3,-66.81068932,83.7629536,-81.96720643,0.593654771
LPW,W Shumagins,SNV+SG,3,-15.95741996,43.1757654,-41.86829894,1.011912261
LPW,W Shumagins,SG Only,2,-22.44655806,51.58264517,-48.81231348,0.643661469
LPW,W Shumagins,Filtered SG,3,-40.60281874,68.71086859,-66.8752121,0.680418461
LPW,W Shumagins,VIP > 0.5,3,-61.92708092,84.50508702,-82.18572274,0.545932614
LPW,W Shumagins,VIP > 1.0,3,-51.76424864,77.380929,-74.65066614,0.526878155
N Kodiak,LPW,SNV+SG,6,-47.4098456,167.8561656,-149.2901317,0.317193641
N Kodiak,LPW,SG Only,2,-5.997513978,63.81787467,-53.66839853,0.704852893
N Kodiak,LPW,Filtered SG,2,-5.484391335,61.43347158,-48.03192977,0.635474377
N Kodiak,LPW,VIP > 0.5,3,-4.238574922,55.21753679,-41.8166804,0.674971031
N Kodiak,LPW,VIP > 1.0,3,-4.630387037,57.24526554,-42.13791625,0.628149879
N Kodiak,S Kodiak,SNV+SG,6,-0.369270082,11.92189715,7.224202229,1.114834997
