model_name,RMSE,R2,Bias,RPD,model_run
XGB,9.379,0.911,−0.050,3.817,All
Simple GAM,9.704,0.904,0.093,3.589,All
RF,9.843,0.904,−0.025,3.615,All
PCA-GAM 6,11.058,0.879,0.042,3.183,All
PCA-GAM 1,11.062,0.879,0.044,3.183,All
PCA-GAM 3,11.071,0.878,0.053,3.181,All
PCA-GAM 2,11.082,0.878,0.07,3.173,All
PCA-GAM 5,11.093,0.878,0.041,3.173,All
PCA-GAM 8,11.093,0.878,0.073,3.17,All
PCA-GAM 4,11.108,0.878,0.025,3.167,All
PCA-GAM 10,11.116,0.877,0.061,3.162,All
PCA-GAM 9,11.14,0.877,0.035,3.153,All
PCA-GAM 7,11.188,0.876,−0.024,3.145,All
Simple LM,11.316,0.867,0.051,3.129,All
PCA-LM 7,11.588,0.868,0.081,2.99,All
PCA-LM 1,11.589,0.868,0.083,2.991,All
PCA-LM 5,11.6,0.867,0.071,2.986,All
PCA-LM 8,11.602,0.867,0.074,2.987,All
PCA-LM 3,11.624,0.867,0.09,2.981,All
PCA-LM 9,11.64,0.866,0.073,2.976,All
PCA-LM 2,11.643,0.866,0.074,2.976,All
PCA-LM 6,11.653,0.866,0.063,2.972,All
PCA-LM 10,11.657,0.866,0.066,2.972,All
PCA-LM 4,11.674,0.866,0.081,2.967,All
PLS,12.25,0.852,0.065,2.901,All
PLS-VIP,12.374,0.847,0.024,2.927,All
PCA-LM 1,7.467,0.68,−0.086,2.537,Kodiak
PCA-LM 3,7.471,0.68,−0.112,2.521,Kodiak
PCA-LM 5,7.475,0.679,−0.041,2.56,Kodiak
PCA-LM 6,7.517,0.679,−0.069,2.493,Kodiak
PCA-LM 2,7.524,0.678,−0.043,2.507,Kodiak
PCA-LM 4,7.525,0.667,−0.039,2.555,Kodiak
PCA-LM 8,7.536,0.667,−0.065,2.531,Kodiak
PCA-LM 10,7.538,0.677,0.001,2.524,Kodiak
PCA-LM 9,7.607,0.665,−0.022,2.48,Kodiak
PCA-LM 7,7.608,0.664,0.004,2.496,Kodiak
PCA-GAM 6,7.806,0.654,−1.038,2.494,Kodiak
PCA-GAM 9,7.878,0.65,−0.407,2.383,Kodiak
PCA-GAM 10,7.954,0.642,−0.655,2.365,Kodiak
PCA-GAM 2,7.958,0.642,−0.468,2.363,Kodiak
PLS,7.97,0.632,0.127,2.888,Kodiak
PCA-GAM 3,8.006,0.637,−0.647,2.36,Kodiak
PCA-GAM 5,8.014,0.63,−0.511,2.411,Kodiak
PCA-GAM 1,8.033,0.635,−0.435,2.335,Kodiak
PCA-GAM 7,8.082,0.623,−0.555,2.378,Kodiak
PCA-GAM 4,8.113,0.628,−0.640,2.323,Kodiak
PCA-GAM 8,8.147,0.617,−0.849,2.38,Kodiak
PLS-VIP,8.194,0.607,0.147,2.841,Kodiak
XGB,8.438,0.609,0.214,2.216,Kodiak
RF,8.508,0.606,0.212,2.134,Kodiak
Simple LM,8.66,0.563,0.065,2.263,Kodiak
Simple GAM,8.883,0.551,−0.167,2.107,Kodiak
PCA-LM 4,11.836,0.698,0.031,2.403,LPW
PCA-LM 7,11.842,0.693,0.112,2.431,LPW
PLS,11.844,0.687,−0.151,2.768,LPW
XGB,11.878,0.672,−0.562,2.61,LPW
PCA-LM 8,11.887,0.695,0.011,2.395,LPW
PCA-LM 1,11.889,0.695,0.018,2.398,LPW
PCA-LM 5,11.937,0.693,0.024,2.378,LPW
PCA-LM 3,11.955,0.691,−0.014,2.378,LPW
PCA-LM 6,11.963,0.69,0.033,2.383,LPW
PLS-VIP,12.019,0.677,−0.150,2.713,LPW
PCA-GAM 6,12.027,0.679,0.345,2.418,LPW
PCA-LM 10,12.081,0.687,−0.124,2.352,LPW
PCA-GAM 1,12.096,0.68,0.178,2.384,LPW
PCA-GAM 8,12.107,0.681,0.128,2.377,LPW
PCA-GAM 7,12.111,0.681,0.104,2.368,LPW
PCA-LM 2,12.117,0.685,−0.137,2.353,LPW
PCA-GAM 4,12.142,0.678,0.307,2.364,LPW
PCA-LM 9,12.178,0.682,−0.169,2.333,LPW
PCA-GAM 3,12.189,0.675,0.179,2.361,LPW
PCA-GAM 5,12.221,0.673,0.206,2.36,LPW
PCA-GAM 2,12.596,0.654,−0.214,2.272,LPW
PCA-GAM 9,12.641,0.653,−0.223,2.248,LPW
PCA-GAM 10,12.666,0.651,−0.192,2.258,LPW
RF,12.938,0.632,0.353,2.25,LPW
Simple LM,13.385,0.567,0.062,2.074,LPW
Simple GAM,13.45,0.55,0.303,2.145,LPW
PCA-GAM 2,5.81,0.616,0.294,1.953,Shumagin
PCA-GAM 1,5.823,0.613,0.23,1.957,Shumagin
Simple LM,5.852,0.599,0.029,1.958,Shumagin
PCA-GAM 6,5.855,0.607,0.355,1.947,Shumagin
PCA-GAM 8,5.862,0.607,0.087,1.945,Shumagin
PCA-GAM 4,5.867,0.605,0.067,1.951,Shumagin
PCA-GAM 9,5.877,0.607,0.243,1.941,Shumagin
PCA-GAM 3,5.879,0.605,0.132,1.942,Shumagin
PCA-GAM 5,5.887,0.603,0.387,1.936,Shumagin
PCA-GAM 10,5.915,0.601,0.195,1.926,Shumagin
PCA-GAM 7,5.928,0.598,0.21,1.924,Shumagin
PCA-LM 2,5.945,0.592,0.129,1.953,Shumagin
PCA-LM 1,5.953,0.588,0.059,1.954,Shumagin
PLS-VIP,5.953,0.584,−0.071,2.152,Shumagin
PCA-LM 6,5.981,0.587,0.112,1.941,Shumagin
PLS,5.982,0.582,−0.059,2.134,Shumagin
PCA-LM 4,5.982,0.584,0.05,1.945,Shumagin
PCA-LM 3,5.987,0.583,0.043,1.943,Shumagin
PCA-LM 5,5.988,0.585,0.057,1.95,Shumagin
PCA-LM 9,5.996,0.582,0.055,1.938,Shumagin
PCA-LM 8,6.007,0.579,0.047,1.94,Shumagin
PCA-LM 7,6.008,0.58,0.026,1.937,Shumagin
PCA-LM 10,6.04,0.576,0.035,1.926,Shumagin
Simple GAM,6.155,0.563,−0.051,1.856,Shumagin
RF,6.261,0.572,−0.301,1.792,Shumagin
XGB,6.502,0.53,−0.199,1.734,Shumagin
PCA-GAM 3,6.776,0.695,−0.169,2.057,Wild
PCA-GAM 6,6.8,0.693,−0.149,2.046,Wild
PCA-GAM 9,6.809,0.693,−0.048,2.043,Wild
PCA-GAM 1,6.816,0.691,−0.169,2.047,Wild
PCA-GAM 8,6.844,0.688,−0.174,2.04,Wild
PCA-GAM 7,6.845,0.688,−0.091,2.038,Wild
PCA-GAM 4,6.857,0.688,−0.107,2.031,Wild
PCA-GAM 5,6.865,0.686,0.145,2.034,Wild
PCA-GAM 2,6.907,0.683,−0.246,2.027,Wild
PCA-GAM 10,6.933,0.681,−0.222,2.016,Wild
RF,7.082,0.675,−0.082,1.972,Wild
Simple LM,7.119,0.661,0.021,1.993,Wild
Simple GAM,7.125,0.663,−0.038,1.972,Wild
PCA-LM 1,7.126,0.658,0.02,1.963,Wild
PCA-LM 2,7.141,0.655,0.02,1.962,Wild
PCA-LM 9,7.159,0.654,0.018,1.955,Wild
PCA-LM 5,7.163,0.655,0.023,1.95,Wild
PCA-LM 3,7.165,0.654,0.014,1.953,Wild
PCA-LM 6,7.177,0.652,0.023,1.949,Wild
PCA-LM 10,7.183,0.653,0.01,1.946,Wild
PCA-LM 4,7.183,0.652,0.014,1.951,Wild
PCA-LM 7,7.208,0.649,0.024,1.941,Wild
PCA-LM 8,7.217,0.647,0.024,1.941,Wild
XGB,7.249,0.657,−0.264,1.923,Wild
PLS-VIP,7.316,0.639,0.045,1.987,Wild
PLS,7.581,0.612,0.01,1.915,Wild
