specimen,region
424534,E Shumagins
424586,E Shumagins
425917,E Shumagins
425939,E Shumagins
425946,E Shumagins
425948,E Shumagins
425954,E Shumagins
425956,E Shumagins
425966,E Shumagins
425968,E Shumagins
425970,E Shumagins
425971,E Shumagins
425973,E Shumagins
425976,E Shumagins
425978,E Shumagins
425989,E Shumagins
425991,E Shumagins
425997,W Shumagins
425998,W Shumagins
426010,W Shumagins
426013,W Shumagins
426016,W Shumagins
426018,W Shumagins
426021,W Shumagins
426022,W Shumagins
426023,W Shumagins
426028,W Shumagins
426029,W Shumagins
426030,W Shumagins
426033,W Shumagins
426034,W Shumagins
426040,W Shumagins
426044,W Shumagins
426045,W Shumagins
426047,W Shumagins
426048,W Shumagins
426050,W Shumagins
426051,W Shumagins
426054,W Shumagins
426056,W Shumagins
426057,W Shumagins
426059,W Shumagins
426061,W Shumagins
426062,W Shumagins
426063,W Shumagins
426068,W Shumagins
426069,W Shumagins
426072,W Shumagins
426073,W Shumagins
426074,W Shumagins
426077,E Shumagins
426083,E Shumagins
426088,E Shumagins
426089,E Shumagins
426090,E Shumagins
426092,E Shumagins
426099,E Shumagins
426100,E Shumagins
426102,E Shumagins
424527,E Shumagins
424547,E Shumagins
424564,E Shumagins
424568,E Shumagins
424584,E Shumagins
424595,E Shumagins
424597,E Shumagins
425900,E Shumagins
425907,E Shumagins
425915,E Shumagins
425919,E Shumagins
425925,E Shumagins
425940,E Shumagins
425945,E Shumagins
425957,E Shumagins
425959,E Shumagins
425990,E Shumagins
425999,W Shumagins
426007,W Shumagins
426076,E Shumagins
424176,N Kodiak
424186,N Kodiak
424189,N Kodiak
424190,N Kodiak
424223,N Kodiak
424226,N Kodiak
424227,N Kodiak
424229,N Kodiak
424236,N Kodiak
424242,N Kodiak
424246,N Kodiak
424252,S Kodiak
424274,S Kodiak
424275,S Kodiak
424287,S Kodiak
424336,S Kodiak
424338,S Kodiak
424363,S Kodiak
424365,S Kodiak
424367,S Kodiak
424368,S Kodiak
424377,S Kodiak
426126,N Kodiak
426131,N Kodiak
426132,N Kodiak
426134,N Kodiak
426136,N Kodiak
426146,N Kodiak
426150,N Kodiak
426152,N Kodiak
426155,N Kodiak
426156,N Kodiak
426158,N Kodiak
426166,N Kodiak
426167,N Kodiak
426175,N Kodiak
424177,N Kodiak
424178,N Kodiak
424182,N Kodiak
424184,N Kodiak
424195,N Kodiak
424222,N Kodiak
424224,N Kodiak
424230,N Kodiak
424232,N Kodiak
424251,S Kodiak
424289,S Kodiak
424295,S Kodiak
424327,S Kodiak
424333,S Kodiak
424339,S Kodiak
426129,N Kodiak
426153,N Kodiak
426162,N Kodiak
426165,N Kodiak
426216,N Kodiak
