"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","RMSE","LM","GAM",500,500,95713,1.36e-24,8.16e-24,"****"
"2","RMSE","LM","PLS (VIP)",500,500,106242,1.7e-41,1.19e-40,"****"
"3","RMSE","LM","XGB",500,500,82512,7.63e-10,2.29e-09,"****"
"4","RMSE","LM","RF",500,500,0,1.27e-83,2.67e-82,"****"
"5","RMSE","LM","LM (Simple)",500,500,12,1.36e-83,2.67e-82,"****"
"6","RMSE","LM","GAM (Simple)",500,500,0,1.27e-83,2.67e-82,"****"
"7","RMSE","GAM","PLS (VIP)",500,500,90011,2.4e-17,1.2e-16,"****"
"8","RMSE","GAM","XGB",500,500,66626,0.216,0.432,"ns"
"9","RMSE","GAM","RF",500,500,0,1.27e-83,2.67e-82,"****"
"10","RMSE","GAM","LM (Simple)",500,500,9,1.34e-83,2.67e-82,"****"
"11","RMSE","GAM","GAM (Simple)",500,500,0,1.27e-83,2.67e-82,"****"
"12","RMSE","PLS (VIP)","XGB",500,500,41024,2.35e-11,9.4e-11,"****"
"13","RMSE","PLS (VIP)","RF",500,500,0,1.27e-83,2.67e-82,"****"
"14","RMSE","PLS (VIP)","LM (Simple)",500,500,0,1.27e-83,2.67e-82,"****"
"15","RMSE","PLS (VIP)","GAM (Simple)",500,500,0,1.27e-83,2.67e-82,"****"
"16","RMSE","XGB","RF",500,500,0,1.27e-83,2.67e-82,"****"
"17","RMSE","XGB","LM (Simple)",500,500,117,2.56e-83,2.67e-82,"****"
"18","RMSE","XGB","GAM (Simple)",500,500,0,1.27e-83,2.67e-82,"****"
"19","RMSE","RF","LM (Simple)",500,500,60028,0.422,0.432,"ns"
"20","RMSE","RF","GAM (Simple)",500,500,10156,2.97e-59,2.38e-58,"****"
"21","RMSE","LM (Simple)","GAM (Simple)",500,500,648,6.11e-82,5.5e-81,"****"
