specimen,transect,core_start_index,core_end_index,DIFFERENCE
oto01,1,90,149,59
oto01,2,77,149,72
oto02,1,59,91,32
oto02,2,59,89,30
oto03,1,69,124,55
oto03,2,77,141,64
oto04,1,97,221,124
oto04,2,98,224,126
oto05,1,42,153,111
oto05,2,29,148,119
oto06,2,81,186,105
oto06,3,83,177,94
oto07,1,116,201,85
oto07,2,118,201,83
oto08,2,92,177,85
oto08,3,81,175,94
oto09,2,110,217,107
oto09,3,107,221,114
oto11,1,95,171,76
oto11,2,102,193,91
oto13,1,78,204,126
oto13,2,82,213,131
oto15,1,135,271,136
oto15,2,111,281,170
oto17,1,164,267,103
oto17,2,148,260,112
oto19,1,176,303,127
oto19,2,180,316,136
oto21,2,61,143,82
oto21,3,49,139,90
oto22,2,59,165,106
oto22,3,59,176,117
oto23,2,75,199,124
oto23,3,128,224,96
oto24,1,67,155,88
oto24,2,70,155,85
oto25,2,78,150,72
oto25,3,85,158,73
oto26,1,61,134,73
oto26,2,69,140,71
oto27,2,54,181,127
oto27,3,57,187,130
oto29,3,49,101,52
oto29,4,32,92,60
oto31,1,76,165,89
oto31,2,91,188,97
oto32,2,93,157,64
oto32,3,94,154,60
oto33,2,111,223,112
oto33,3,112,217,105
oto34,3,139,249,110
oto34,4,141,252,111
oto36,1,101,301,200
oto36,2,101,308,207
oto39,2,138,290,152
oto39,3,138,292,154
