specimen,oto_specimen
425957,oto01
425900,oto02
425925,oto03
425959,oto04
424584,oto05
424289,oto06
424295,oto07
426162,oto08
424251,oto09
424333,oto10
425940,oto11
424564,oto12
425999,oto13
426076,oto14
424568,oto15
424177,oto16
424178,oto17
424182,oto18
426153,oto19
426216,oto20
424195,oto21
424222,oto22
424224,oto23
424230,oto24
424232,oto25
424595,oto26
424597,oto27
425915,oto28
425919,oto29
425990,oto30
424184,oto31
424327,oto32
424339,oto33
426129,oto34
426165,oto35
424527,oto36
424547,oto37
425907,oto38
425945,oto39
426007,oto40
