specimen,length,structure_weight,haul,date_collected,latitude,longitude,region,read_age,test_age,final_age,run_number,scan_name,comments,unscannable,percent_affected,other_problem,crystallized,broken,side,timestamp,file_name,session_title
423800,43,0.0006,1,6/19/21,57.09232,-135.4496,Kruzof,,,,1,JJ202101202_423800_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423800_OA1.0,NIR_JJ202101202
423801,60,0.0026,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423801_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423801_OA1.0,NIR_JJ202101202
423802,57,0.002,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423802_OA1,Right oto broken,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423802_OA1.0,NIR_JJ202101202
423804,52,0.0013,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423804_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423804_OA1.0,NIR_JJ202101202
423806,44,0.0008,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423806_OA1,dried tissue,0,10,1,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423806_OA1.0,NIR_JJ202101202
423807,45,0.0007,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423807_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423807_OA1.0,NIR_JJ202101202
423808,57,0.0018,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423808_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423808_OA1.0,NIR_JJ202101202
423810,55,0.0017,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423810_OA1,dried tissue,0,10,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423810_OA1.0,NIR_JJ202101202
423812,54,0.0014,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423812_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423812_OA1.0,NIR_JJ202101202
423814,51,0.0016,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423814_OA1,dried tissue,0,5,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423814_OA1.0,NIR_JJ202101202
423818,39,0.0004,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423818_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423818_OA1.0,NIR_JJ202101202
423819,43,0.0007,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423819_OA1,dried tissue,0,15,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423819_OA1.0,NIR_JJ202101202
423821,47,0.0012,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423821_OA1,dried tissue,0,20,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423821_OA1.0,NIR_JJ202101202
423822,42,0.0006,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423822_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423822_OA1.0,NIR_JJ202101202
423823,35,0.0005,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423823_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423823_OA1.0,NIR_JJ202101202
423824,49,0.001,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423824_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423824_OA1.0,NIR_JJ202101202
423825,51,0.0012,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423825_OA1,dried tissue,0,5,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423825_OA1.0,NIR_JJ202101202
423826,46,0.0009,2,6/20/21,57.32528,-135.7818,Kruzof,,,,1,JJ202101202_423826_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423826_OA1.0,NIR_JJ202101202
423828,59,0.0018,3,6/22/21,59.97953,-148.1796,Kenai,,,,1,JJ202101202_423828_OA1,dried tissue,0,10,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423828_OA1.0,NIR_JJ202101202
423829,54,0.0014,3,6/22/21,59.97953,-148.1796,Kenai,,,,1,JJ202101202_423829_OA1,dried tissue,0,5,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423829_OA1.0,NIR_JJ202101202
423830,53,0.0016,3,6/22/21,59.97953,-148.1796,Kenai,,,,1,JJ202101202_423830_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423830_OA1.0,NIR_JJ202101202
423831,59,0.002,3,6/22/21,59.97953,-148.1796,Kenai,,,,1,JJ202101202_423831_OA1,dried tissue,0,10,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423831_OA1.0,NIR_JJ202101202
423882,40,0.0005,4,6/23/21,60.10733,-147.9999,Kenai,,,,1,JJ202101202_423882_OA1,dried tissue,0,5,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423882_OA1.0,NIR_JJ202101202
423883,44,0.0007,4,6/23/21,60.10733,-147.9999,Kenai,,,,1,JJ202101202_423883_OA1,dried tissue,0,10,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423883_OA1.0,NIR_JJ202101202
423889,41,0.0005,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423889_OA1,dried tissue,0,5,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423889_OA1.0,NIR_JJ202101202
423892,36,0.0003,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423892_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423892_OA1.0,NIR_JJ202101202
423893,31,0.0004,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423893_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423893_OA1.0,NIR_JJ202101202
