specimen,read_age
424176,112
424186,117
424189,
424190,115
424223,
424226,69
424227,72
424229,85
424236,81
424242,
424246,86
424252,93
424274,80
424275,67
424287,78
424336,64
424338,85
424363,83
424365,104
424367,86
424368,69
424377,73
426126,106
426131,
426132,116
426134,112
426136,96
426146,77
426150,
426152,89
426155,94
426156,96
426158,79
426166,87
426167,74
426175,80
424177,101
424178,103
424182,127
424184,100
424195,65
424222,75
424224,74
424230,71
424232,71
424251,78
424289,75
424295,76
424327,
424333,
424339,
426129,
426153,
426162,78
426165,
426216,95
424534,92
424586,71
425917,
425939,
425946,94
425948,69
425954,65
425956,64
425966,88
425968,
425970,
425971,86
425973,97
425976,85
425978,
425989,68
425991,
425997,81
425998,88
426010,74
426013,
426016,83
426018,81
426021,86
426022,88
426023,77
426028,96
426029,96
426030,102
426033,
426034,67
426040,
426044,
426045,
426047,
426048,90
426050,97
426051,87
426054,102
426056,87
426057,88
426059,87
426061,62
426062,85
426063,77
426068,75
426069,56
426072,79
426073,77
426074,81
426077,
426083,
426088,85
426089,
426090,91
426092,86
426099,70
426100,
426102,68
424527,
424547,94
424564,77
424568,78
424584,72
424595,70
424597,78
425900,63
425907,91
425915,76
425919,75
425925,74
425940,81
425945,85
425957,71
425959,71
425990,75
425999,77
426007,81
426076,75
