specimen,Age 1,Age 2,Age 3
1,120,,
2,126,129,
3,102,,
4,109,113,
5,,,
6,135,140,139
7,130,129,
8,118,116,
9,136,132,
10,,,
11,113,119,
12,148,141,
13,118,129,125
14,129,124,129
15,,,
16,135,131,
17,117,119,
18,,,
19,,,
20,137,137,
21,128,132,112
22,113,107,
23,120,122,
24,119,121,
25,118,123,
26,109,110,
27,126,,
28,127,121,
29,,,
30,120,116,
31,106,113,113
32,120,117,
33,,,
34,132,108,128
35,129,121,
36,,,
37,131,135,
38,115,118,
39,140,,
40,137,144,
41,129,113,121
42,137,132,
43,130,,
44,111,138,121
45,144,145,139
46,138,144,142
47,131,134,
48,150,150,
49,144,146,
50,114,125,120
51,,,
52,135,,
53,168,175,171
54,145,186,178
55,144,122,133
56,,,
57,105,123,133
58,,,
59,146,147,
60,140,139,
61,137,,
62,,,
63,,,
64,,,
65,169,148,165
66,,,
67,181,178,164
68,179,170,
69,,,
70,158,148,146
71,,,
72,174,156,
73,164,146,165
74,183,176,188
75,121,128,
76,156,148,
77,164,161,
78,214,197,175
79,166,159,153
80,,,
81,173,,
82,156,178,
83,,,
84,,,
85,210,182,
86,,,
87,,,
88,195,,
89,224,,
90,214,,
91,,,
92,,,
93,192,184,
94,208,205,
95,203,204,
96,208,185,
97,,,
98,,,
99,,,
100,,,
101,184,,
102,,,
103,221,,
104,,,
105,,,
106,,,
107,199,,
108,173,,
109,,,
110,,,
111,,,
112,,,
113,190,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,199,,
122,,,
