"","transect_id","manual_start","manual_end"
"1","oto03-0","32","332"
"2","oto05-3","25","336"
"3","oto18-0","56","624"
"4","oto18-1","31","626"
"5","oto18-2","37","658"
"6","oto18-3","30","631"
"7","oto20-2","73","811"
"8","oto22-1","45","416"
"9","oto22-2","35","420"
"10","oto23-2","40","481"
"11","oto24-2","24","420"
"12","oto26-0","33","376"
"13","oto31-2","25","419"
"14","oto33-1","53","577"
"15","oto33-2","39","570"
"16","oto35-0","40","575"
"17","oto39-0","39","579"
"18","oto39-1","50","584"
"19","oto39-2","42","576"
"20","oto39-3","32","558"
"21","oto38-2","42","601"
