specimen,transect,core_start_time,core_end_time
oto01,1,23.12,35.29
oto01,2,25.1,35.84
oto02,1,15.08,35.58
oto02,2,18.76,34.66
oto03,1,19.57,39.37
oto03,2,20.5,40.46
oto04,2,27.65,37.58
oto06,2,28.02,43.03
oto06,3,29.36,40.04
oto07,1,15.34,37.41
oto07,2,24.72,45.37
oto08,2,31.11,43.2
oto08,3,29.6,41.04
oto09,2,20.37,35.91
oto09,3,19.72,36.96
oto11,1,14.34,27.46
oto11,2,11.8,25.7
oto13,1,28.36,44.63
oto13,2,31.31,49.16
oto15,1,22.06,45.29
oto15,2,29.79,50.66
oto16,1,17.12,36.71
oto16,2,20.84,39.28
oto17,1,23.9,43.03
oto17,2,22.17,42.59
oto19,1,22.27,39.06
oto19,2,28.84,45.04
oto20,3,29.11,56.86
oto20,4,29.3,60.24
oto21,2,5.48,24.23
oto21,3,5.51,26.77
oto22,2,28.27,46.97
oto22,3,26.3,45.11
oto23,2,32.74,45.8
oto23,3,32.79,47.91
oto24,1,31.4,54.48
oto24,2,27.74,48.57
oto25,2,10.9,28.95
oto25,3,10.46,29.22
oto26,1,16.35,45.76
oto27,2,23.51,39.69
oto27,3,23.61,41.16
oto28,2,27.22,41.56
oto28,3,29.38,45.73
oto29,3,21.55,32.88
oto29,4,17.97,33.92
oto30,1,19.48,27.99
oto30,2,15.01,32
oto31,1,19.92,50.46
oto31,2,13.44,50.01
oto32,2,19.26,34.2
oto32,3,16.87,34.48
oto33,2,44.59,65.69
oto33,3,41.62,66.02
oto34,3,25.36,54.2
oto34,4,20.75,52.98
oto35,3,22.28,51.25
oto35,4,23.13,50
oto36,1,36.37,93.75
oto36,2,38.76,93.32
oto37,1,32.74,81.8
oto37,2,31.16,62.07
oto38,3,24.21,47.65
oto38,4,23.85,43.81
oto39,2,29.46,53.48
oto39,3,31.83,49.16
