"","Model","R2","RMSE","RPD","Bias","PercentRMSE"
"1","GAM 1",0.60597774402856,13.6651662738733,2.20220870056066,1.10331607010066,7.5533687655158
"2","GAM 10",0.598780387569228,13.7979046502414,2.16625235916872,1.06747913449825,7.62741610970796
"3","GAM 2",0.605701118070111,13.6465104860252,2.20722854566273,1.01867195203039,7.54509560877224
"4","GAM 3",0.59520662316335,13.8001134027285,2.15401453645036,1.87222230959735,7.63618659011049
"5","GAM 4",0.692576544163783,12.0734054865626,2.62117293571539,1.42421882594876,6.65047268892105
"6","GAM 5",0.715465677834978,11.624666359784,2.73815497410305,0.880718139391672,6.39907803602304
"7","GAM 6",0.6009195858047,13.7398037449664,2.18039909080909,1.04372174562756,7.59647085426537
"8","GAM 7",0.704350836915038,11.8681174935162,2.67735572535918,1.03638414957138,6.53202629639438
"9","GAM 8",0.591808040900843,13.8177884261025,2.15075681022575,1.84673855179651,7.64984675637857
"10","GAM 9",0.575383548164124,14.3158213820275,2.05023733082498,1.41924632735252,7.91216797784773
"11","Linear 1",0.583094028963218,14.1367698226068,2.07348461944122,0.280777428624501,7.81893204358274
"12","Linear 10",0.575245946365575,14.3313810165687,2.03786904972554,0.441058660109254,7.92281467811755
"13","Linear 2",0.589169316471064,14.0637203572643,2.0833912434416,0.264194741988006,7.77611821540198
"14","Linear 3",0.575101569002372,14.3125832111533,2.04604612578062,0.388335743983493,7.91360116456355
"15","Linear 4",0.581057647248589,14.2448337518012,2.053900615569,0.371753057346999,7.87392732310267
"16","Linear 5",0.58302145258398,14.1592916913028,2.06409859613306,0.333500344750262,7.83028125327885
"17","Linear 6",0.708783734871454,11.8015539259337,2.71251148061105,0.172938610838005,6.49318793812602
"18","Linear 7",0.589024091858716,14.0868833397128,2.07439259197693,0.316917658113767,7.78780449215001
"19","Linear 8",0.579596015905911,14.2044734535363,2.06001742459635,0.273162724205003,7.85594726606822
"20","Linear 9",0.711612502582386,11.7812823035765,2.71086592558662,0.15635592420151,6.48102277803183
"21","PLS",0.724044276166925,11.612224949625,3.028547443495,0.136583655637755,6.39749744565775
"22","PLS - VIP",0.732072547769338,11.3849546411974,3.15006761297376,0.124564298858252,6.27041140158034
"23","RF",0.638725385326362,13.3017334337279,2.35511203920081,0.355441523909934,7.30047583171393
"24","Simple gam",0.580082191292173,14.0983270519689,2.13576247651782,-0.267960545552735,7.79178891217353
"25","Simple lm",0.616972070609705,13.3441292623499,2.28292876431063,0.274187691949684,7.38084698239433
"26","XGB",0.796721947800301,11.5959362700639,3.00459680155008,-2.26844559691838,6.34631514358667
