"Calibration
Region","Test
Region",Model Type,nComp,R2,RMSE,Bias,RPD
E Shumagins,E Shumagins,Simple-GAM,NA,0.586,6.544,0.000,1.565
E Shumagins,LPW,Simple-LM,NA,0.495,18.136,-5.269,1.358
E Shumagins,N Kodiak,Simple-LM,NA,0.645,10.080,-2.186,1.624
E Shumagins,S Kodiak,Simple-GAM,NA,0.455,7.438,-0.719,1.325
E Shumagins,W Shumagins,Simple-LM,NA,0.649,6.452,-0.940,1.664
LPW,E Shumagins,PCA-GAM,NA,0.024,19.002,6.459,0.539
LPW,LPW,PCA-LM,NA,0.810,10.505,0.000,2.317
LPW,N Kodiak,PCA-GAM,NA,0.207,14.761,-0.425,1.109
LPW,S Kodiak,PCA-GAM,NA,0.028,13.231,5.797,0.745
LPW,W Shumagins,PCA-GAM,NA,0.032,16.584,0.317,0.647
N Kodiak,E Shumagins,Simple-LM,NA,0.578,6.614,0.312,1.549
N Kodiak,LPW,VIP > 0.5,3,-4.239,55.218,-41.817,0.675
N Kodiak,N Kodiak,PCA-GAM,NA,0.724,8.540,0.000,1.917
N Kodiak,S Kodiak,Simple-GAM,NA,0.533,7.039,-0.886,1.400
N Kodiak,W Shumagins,Simple-GAM,NA,0.680,6.285,-1.138,1.708
S Kodiak,E Shumagins,SNV+SG,5,0.432,7.208,-1.277,1.369
S Kodiak,LPW,PCA-LM,NA,0.613,39.900,33.275,0.610
S Kodiak,N Kodiak,SNV+SG,5,0.548,11.221,-4.725,1.667
S Kodiak,S Kodiak,PCA-GAM,NA,0.655,5.754,0.000,1.712
S Kodiak,W Shumagins,Simple-GAM,NA,0.584,7.083,0.442,1.515
W Shumagins,E Shumagins,SNV+SG,1,0.560,6.341,-1.762,1.594
W Shumagins,LPW,PCA-LM,NA,0.612,24.991,17.335,0.974
W Shumagins,N Kodiak,SNV+SG,1,0.619,10.299,-4.380,1.820
W Shumagins,S Kodiak,Simple-GAM,NA,0.523,6.965,0.363,1.415
W Shumagins,W Shumagins,Simple-GAM,NA,0.713,5.712,0.000,1.879
